timestamp,bin_id,location,fill_level,weight_kg,temperature,battery_level,latitude,longitude,status
2026-08-09T14:48:53.288573,BIN_008,Udupi,31,23.21,30.79,59,13.386612,74.743895,Normal
2026-08-09T14:49:53.288573,BIN_006,Manipal,44,31.85,34.55,39,13.389592,74.795714,Normal
2026-08-09T14:50:53.288573,BIN_007,Manipal,42,18.47,31.58,75,13.340145,74.721582,Normal
2026-08-09T14:51:53.288573,BIN_012,Udupi,35,18.57,38.79,90,13.300498,74.776004,Normal
2026-08-09T14:52:53.288573,BIN_020,Malpe,22,10.64,36.95,98,13.33064,74.707462,Normal
2026-08-09T14:53:53.288573,BIN_001,Malpe,14,10.8,39.29,32,13.312241,74.739286,Normal
2026-08-09T14:54:53.288573,BIN_010,Udupi,86,57.59,32.84,26,13.328038,74.706134,Warning
2026-08-09T14:55:53.288573,BIN_019,Kundapura,93,66.39,31.71,24,13.346541,74.799855,Overflow Risk
2026-08-09T14:56:53.288573,BIN_011,Udupi,46,36.25,32.08,100,13.327527,74.745716,Normal
2026-08-09T14:57:53.288573,BIN_003,Udupi,92,57.63,36.1,67,13.36047,74.748956,Overflow Risk
2026-08-09T14:58:53.288573,BIN_007,Manipal,42,23.25,38.34,67,13.340145,74.721582,Normal
2026-08-09T14:59:53.288573,BIN_020,Malpe,18,11.48,30.33,93,13.33064,74.707462,Normal
2026-08-09T15:00:53.288573,BIN_017,Udupi,93,69.57,33.14,42,13.379624,74.705957,Overflow Risk
2026-08-09T15:01:53.288573,BIN_001,Malpe,21,12.25,37.2,90,13.312241,74.739286,Normal
2026-08-09T15:02:53.288573,BIN_010,Udupi,22,16.82,28.61,35,13.328038,74.706134,Normal
2026-08-09T15:03:53.288573,BIN_014,Malpe,27,17.33,26.41,76,13.333329,74.703057,Normal
2026-08-09T15:04:53.288573,BIN_012,Udupi,53,24.0,34.94,63,13.300498,74.776004,Normal
2026-08-09T15:05:53.288573,BIN_003,Udupi,66,47.27,25.39,38,13.36047,74.748956,Normal
2026-08-09T15:06:53.288573,BIN_016,Brahmagiri,32,22.5,34.47,66,13.344545,74.718646,Normal
2026-08-09T15:07:53.288573,BIN_003,Udupi,82,65.34,25.46,46,13.36047,74.748956,Warning
2026-08-09T15:08:53.288573,BIN_005,Malpe,15,11.28,33.04,84,13.351108,74.766898,Normal
2026-08-09T15:09:53.288573,BIN_002,Malpe,43,27.58,32.25,69,13.386811,74.702684,Normal
2026-08-09T15:10:53.288573,BIN_007,Manipal,39,21.1,25.6,20,13.340145,74.721582,Normal
